Успех,Площадь загальна кв.м,Тип,Количество сотрудников в штаті,Кількість відгуків в гуглі,Количество чеков,Среднее количество единиц в чеке,Автомобілів в день,Середній дохід населення,Внутрішньоквартальна дорога,Прогулянкова зона,Якість покриття перед магазином,Стихійна торгівля,Зона пікніка
0,9.0,2,2,43.0,571.0,2.0,12679.0,14910.0,0,0,0,0,0.0
0,30.0,2,2,8.0,1197.0,2.0,12800.0,9030.0,0,0,0,0,0.0
0,15.0,2,2,43.0,402.0,2.0,77106.0,9030.0,0,0,0,0,0.0
0,20.0,2,2,43.0,1036.0,2.0,0.0,13930.0,0,0,0,0,0.0
0,30.0,1,2,43.0,513.0,2.0,0.0,14560.0,0,0,0,0,0.0
0,57.7,1,2,9.0,1893.0,2.0,0.0,14700.0,1,0,0,0,0.0
1,50.0,2,4,21.0,4495.0,2.0,1500.0,12880.0,0,1,0,0,0.6597536834035459
1,45.0,2,6,226.74001890305186,6628.0,2.0,0.0,11550.0,1,1,0,0,0.0
0,27.0,2,2,43.0,1112.0,2.0,0.0,10920.0,1,1,0,0,0.0
0,54.5,1,2,17.0,2533.0,2.0,18731.0,12880.0,0,0,0,0,0.6597536834035459
0,15.0,2,2,4.0,2458.0,1.2486993742390087,93455.0,13020.0,0,0,0,0,0.0
1,27.09,2,5,5.0,6116.0,2.0,24588.0,12180.0,1,0,0,0,0.0
0,56.65,2,4,43.0,3162.0,2.0,0.0,10150.0,1,1,0,0,0.0
1,80.0,1,8,7.0,3826.0,2.0,162603.60521288138,14420.0,0,0,1,0,0.0
1,161.00169055568858,1,6,34.0,4996.0,2.0,162603.60521288138,4118.726364169085,0,0,0,0,0.0
1,140.22,1,4,43.0,3175.0,2.0,118400.0,12180.0,0,0,0,0,0.0
0,25.0,2,2,43.0,3018.0,2.0,11400.0,10850.0,1,0,0,1,0.0
0,51.0,2,4,43.0,2223.0,2.0,7600.0,10780.0,1,0,0,0,0.0
0,70.0,1,4,43.0,3018.0,2.0,25211.0,11419.0,0,0,0,0,0.0
0,24.0,2,2,43.0,1426.0,2.0,4940.0,10010.0,0,0,0,0,0.0
0,44.0,2,4,5.0,2564.0,2.0,1189.0,11480.0,1,0,0,1,0.0
0,4.0,1,2,45.0,915.0,1.2486993742390087,10667.0,14840.0,0,0,0,1,0.0
1,29.27,2,4,27.0,4032.0,2.0,530.0,9380.0,1,1,0,0,0.0
1,120.0,1,6,134.0,4744.0,2.0,17141.0,11900.0,0,0,0,0,0.0
0,32.3,2,4,13.0,2777.0,2.0,7.0,4118.726364169085,1,0,1,0,0.0
0,53.71,1,2,28.0,2470.0,2.0,14222.0,11760.0,0,0,0,0,0.0
0,20.06,2,2,9.0,1469.0,2.0,17956.0,13090.0,1,0,0,0,0.0
0,29.0,1,2,43.0,1651.0,2.0,33628.0,12250.0,0,0,1,0,0.0
1,56.24,2,4,43.0,3638.0,2.0,7584.0,9240.0,1,1,0,0,0.0
1,148.54,1,8,226.74001890305186,5837.0,2.5763508268815682,14540.0,11550.0,0,0,0,0,0.0
0,65.0,2,4,43.0,1866.0,2.0,25211.0,11419.0,0,0,0,0,0.0
1,43.17,1,4,8.0,3342.0,2.0,22420.0,13090.0,0,0,0,0,0.0
